27 Apr 15:41:31,506 [pool-3-thread-1] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:41:31,506 [pool-3-thread-1] INFO  TestBase  - URL selected: http://www.java.com
27 Apr 15:41:40,845 [pool-3-thread-1] INFO  TestBase  - AfterMethod
27 Apr 15:41:40,846 [pool-3-thread-1] INFO  TestBase  - AfterClass
27 Apr 15:41:40,846 [main] INFO  TestBase  - AfterTest
27 Apr 15:41:40,856 [main] INFO  TestBase  - Browser closed
27 Apr 15:43:02,085 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:43:02,089 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:43:02,101 [main] INFO  TestBase  - BeforeTest
27 Apr 15:43:02,108 [main] INFO  TestBase  - BeforeClass
27 Apr 15:43:02,114 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:43:14,993 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:43:14,993 [main] INFO  TestBase  - URL selected: http://www.java.com
27 Apr 15:43:21,027 [main] INFO  TestBase  - AfterMethod
27 Apr 15:43:21,027 [main] INFO  TestBase  - AfterClass
27 Apr 15:43:21,028 [main] INFO  TestBase  - AfterTest
27 Apr 15:43:21,045 [main] INFO  TestBase  - Browser closed
